Name,Online,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Customer_56,No,Yes,4,3314,794,Cafe
Customer_57,Yes,Yes,2.7,1845,841,Delivery
Customer_58,No,No,3.7,3303,253,Delivery
Customer_59,No,No,3.1,4992,2575,Quick Bites
Customer_60,Yes,Yes,3.5,4228,2354,Buffet
Customer_61,Yes,No,3,4701,1033,Cafe
Customer_62,Yes,Yes,3.4,3996,1925,Buffet
Customer_63,No,Yes,4.6,3374,845,Buffet
Customer_64,No,No,2.2,1649,1716,Quick Bites
Customer_65,No,Yes,3.8,1151,426,Cafe
Customer_66,Yes,Yes,1.4,4915,665,Cafe
Customer_67,No,No,1.1,3315,1225,Delivery
Customer_68,Yes,Yes,3,2104,548,Dining
Customer_69,Yes,No,3.1,2897,2942,Buffet
Customer_70,No,Yes,2.2,4198,673,Delivery
Customer_71,Yes,Yes,2.9,3281,390,Delivery
Customer_72,No,No,2.3,915,706,Buffet
Customer_73,Yes,No,3.3,1580,2867,Cafe
Customer_74,Yes,No,4.1,1494,1824,Quick Bites
Customer_75,No,No,4.8,4752,331,Delivery
Customer_76,Yes,Yes,1.7,4808,962,Dining
Customer_77,No,Yes,1.5,4333,1289,Dining
Customer_78,No,No,3.8,4550,1711,Dining
Customer_79,Yes,Yes,1.6,1008,2116,Buffet
Customer_80,No,Yes,3.9,3369,1855,Delivery
Customer_81,Yes,Yes,4.9,4955,974,Cafe
Customer_82,Yes,Yes,4.2,908,830,Delivery
Customer_83,Yes,No,3.4,1767,1279,Dining
Customer_84,No,Yes,2.3,3555,306,Quick Bites
Customer_85,No,No,2.6,2375,1888,Buffet
Customer_86,No,Yes,4.8,1943,2274,Delivery
Customer_87,Yes,Yes,3.3,4432,1568,Quick Bites
Customer_88,No,Yes,2.4,3462,1199,Delivery
Customer_89,No,Yes,1.2,3829,1432,Dining
Customer_90,Yes,No,4.1,578,1292,Delivery
Customer_91,Yes,Yes,1.3,3444,2423,Delivery
Customer_92,Yes,No,1.2,3134,2318,Delivery
Customer_93,No,Yes,2.9,2208,1618,Cafe
Customer_94,No,No,2.4,4066,557,Buffet
Customer_95,No,No,4.8,2215,1717,Quick Bites
Customer_96,No,No,3.6,791,2345,Delivery
Customer_97,No,No,3.9,1896,577,Cafe
Customer_98,Yes,Yes,4.1,3319,1604,Quick Bites
Customer_99,No,Yes,2,113,1566,Cafe
Customer_100,No,Yes,3,2208,549,Buffet
Customer_101,Yes,Yes,3.7,4808,949,Quick Bites
Customer_102,Yes,No,3.8,3108,673,Dining
Customer_103,Yes,Yes,1.8,2600,2155,Dining
Customer_104,No,Yes,4.8,989,2751,Cafe
Customer_105,No,Yes,2.5,4565,1318,Dining
Customer_106,No,No,3.5,945,657,Dining
Customer_107,Yes,No,1.2,2105,1879,Cafe
Customer_108,Yes,No,3.4,1843,2325,Dining
Customer_109,No,No,1.8,1675,877,Buffet
Customer_110,No,Yes,3.3,750,2477,Quick Bites
Customer_111,Yes,Yes,2.4,992,2789,Quick Bites
Customer_112,Yes,Yes,3.3,3397,1310,Cafe
Customer_113,No,No,4.3,4907,2696,Cafe
Customer_114,Yes,Yes,4.6,4973,2543,Dining
Customer_115,Yes,Yes,1.9,2789,1882,Quick Bites
Customer_116,No,Yes,2,967,1651,Quick Bites
Customer_117,No,No,3.9,4102,1364,Cafe
Customer_118,Yes,Yes,2.1,1370,466,Cafe
Customer_119,No,No,4.5,3068,478,Dining
Customer_120,No,Yes,4.2,3203,1755,Cafe
Customer_121,No,No,4.1,4967,796,Quick Bites
Customer_122,Yes,No,3.1,4663,2116,Dining
Customer_123,No,Yes,3.9,3195,2244,Dining
Customer_124,No,No,3,872,2935,Delivery
Customer_125,No,No,1.4,4431,1260,Cafe
Customer_126,No,No,3.2,4215,963,Quick Bites
Customer_127,Yes,No,1.3,4700,548,Delivery
Customer_128,Yes,No,4.4,2929,699,Buffet
Customer_129,Yes,Yes,4.7,546,2297,Quick Bites
Customer_130,Yes,Yes,1.9,4674,2606,Buffet
Customer_131,No,Yes,2.9,719,1797,Delivery
Customer_132,Yes,No,2.3,2219,2011,Buffet
Customer_133,No,No,4.4,2358,2773,Buffet
Customer_134,No,Yes,3.1,632,2793,Quick Bites
Customer_135,Yes,Yes,2.5,3751,725,Quick Bites
Customer_136,Yes,Yes,2.5,4262,1137,Dining
Customer_137,No,No,1.7,2760,2344,Dining
Customer_138,Yes,No,1.2,3371,1562,Buffet
Customer_139,No,No,3.5,964,2557,Delivery
Customer_140,No,Yes,4.6,2291,2837,Quick Bites
Customer_141,Yes,No,2.5,2200,1427,Buffet
Customer_142,No,No,4.4,3288,2586,Delivery
Customer_143,Yes,No,2.7,2305,2873,Cafe
Customer_144,No,Yes,2.4,2609,222,Delivery
Customer_145,No,No,1.6,3588,2313,Cafe
Customer_146,No,No,2.3,493,1548,Dining
Customer_147,Yes,No,4.7,4379,2652,Dining
Customer_148,No,Yes,1.9,599,411,Delivery
Customer_149,Yes,No,2.1,2114,1572,Dining
Customer_150,Yes,No,3.6,4814,693,Dining
Customer_151,Yes,No,4.8,746,2030,Buffet
Customer_152,No,Yes,2.3,871,874,Cafe
Customer_153,Yes,Yes,4.5,3324,2782,Dining
Customer_154,Yes,No,4.5,2836,1359,Cafe
Customer_155,Yes,No,4.7,293,2810,Buffet
Customer_156,Yes,No,1.7,1449,1817,Delivery
Customer_157,No,Yes,3.2,4088,1571,Dining
Customer_158,Yes,Yes,1.2,400,436,Cafe
Customer_159,Yes,No,3.7,2419,2092,Buffet
Customer_160,No,No,3.8,3064,2288,Quick Bites
Customer_161,No,No,2.8,963,714,Cafe
Customer_162,No,Yes,1.6,1122,206,Cafe
Customer_163,No,No,2,3572,329,Delivery
Customer_164,Yes,Yes,1.7,2484,951,Dining
Customer_165,No,No,1.8,941,2747,Delivery
Customer_166,Yes,Yes,2.2,4647,853,Delivery
Customer_167,Yes,Yes,3,3469,1336,Cafe
Customer_168,No,No,2.4,2525,1776,Dining
Customer_169,Yes,No,1.4,2605,921,Delivery
Customer_170,No,No,2.2,4086,718,Delivery
Customer_171,No,No,5,3881,1410,Delivery
Customer_172,No,Yes,1.9,3067,1783,Dining
Customer_173,No,Yes,1.2,3792,349,Buffet
Customer_174,No,Yes,1.4,2950,2747,Quick Bites
Customer_175,No,Yes,1.8,3417,1846,Cafe
Customer_176,Yes,Yes,3.9,558,1365,Quick Bites
Customer_177,No,No,1.6,2518,621,Quick Bites
Customer_178,No,Yes,2.2,4645,2013,Dining
Customer_179,No,Yes,4.2,2480,2862,Quick Bites
Customer_180,No,No,3.2,316,1514,Cafe
Customer_181,No,Yes,1,2355,1385,Delivery
Customer_182,Yes,No,1.4,1321,2250,Cafe
Customer_183,No,Yes,2.9,4719,1829,Quick Bites
Customer_184,No,Yes,2.7,480,2129,Quick Bites
Customer_185,No,No,4.5,2267,1833,Cafe
Customer_186,Yes,Yes,3.9,1239,2060,Delivery
Customer_187,Yes,No,4.2,969,2454,Quick Bites
Customer_188,No,No,3.1,3036,294,Cafe
Customer_189,No,No,1.3,4722,1880,Delivery
Customer_190,Yes,Yes,4.5,163,1588,Quick Bites
Customer_191,Yes,Yes,3.2,3749,1039,Dining
Customer_192,No,No,1.6,4797,1382,Delivery
Customer_193,No,No,4.2,2496,703,Delivery
Customer_194,Yes,Yes,2.3,724,2558,Buffet
Customer_195,Yes,Yes,4.9,2553,2046,Delivery
Customer_196,No,No,2.2,3962,2188,Quick Bites
Customer_197,No,Yes,2.7,2653,241,Quick Bites
Customer_198,No,Yes,1.8,845,2541,Quick Bites
Customer_199,Yes,No,1.3,3167,1926,Buffet
Customer_200,No,Yes,4,1762,548,Dining
Customer_201,Yes,No,3.6,2078,1834,Dining
Customer_202,No,No,2.9,2460,943,Delivery
Customer_203,Yes,Yes,4.4,4344,1224,Delivery
Customer_204,Yes,Yes,1.3,2759,1248,Buffet
Customer_205,No,Yes,3.2,2772,2242,Dining
Customer_206,Yes,Yes,1.5,1342,1398,Quick Bites
Customer_207,No,Yes,4.6,1945,1224,Dining
Customer_208,Yes,No,4.3,2047,1095,Cafe
Customer_209,No,Yes,4.7,1758,2141,Cafe
Customer_210,Yes,Yes,4.4,807,1893,Dining
Customer_211,Yes,Yes,2.7,2049,284,Dining
Customer_212,Yes,No,2.5,4537,2917,Buffet
Customer_213,Yes,No,1.3,2277,903,Delivery
Customer_214,No,No,3.8,2833,2099,Buffet
Customer_215,Yes,No,3,3730,2031,Buffet
Customer_216,No,No,4.8,1567,417,Quick Bites
Customer_217,No,No,4.9,161,1747,Cafe
Customer_218,Yes,No,4.9,1319,1582,Dining
Customer_219,Yes,Yes,4.8,1609,1168,Cafe
Customer_220,Yes,Yes,3.2,2981,2216,Quick Bites
Customer_221,Yes,Yes,5,3421,2303,Quick Bites
Customer_222,No,No,4.7,2025,1649,Delivery
Customer_223,No,Yes,1.4,2225,2061,Dining
Customer_224,Yes,No,4.4,2215,666,Buffet
Customer_225,Yes,No,3.4,3867,2773,Cafe
Customer_226,No,No,4,4042,2495,Delivery
Customer_227,Yes,Yes,2.3,3653,276,Delivery
Customer_228,Yes,No,2.4,4759,836,Buffet
Customer_229,Yes,No,4.3,1450,1965,Buffet
Customer_230,Yes,Yes,4.1,2224,229,Cafe
Customer_231,No,Yes,4.2,2712,2194,Cafe
Customer_232,No,No,4.3,2355,550,Quick Bites
Customer_233,No,Yes,1.1,3755,675,Cafe
Customer_234,Yes,Yes,4,3180,462,Buffet
Customer_235,No,No,4.7,475,703,Dining
Customer_236,No,Yes,1.7,2754,2892,Quick Bites
Customer_237,Yes,Yes,3.8,3759,1372,Delivery
Customer_238,Yes,Yes,2,1377,1665,Delivery
Customer_239,Yes,No,5,2407,2509,Dining
Customer_240,No,Yes,4.5,93,2645,Dining
Customer_241,Yes,No,2.1,2981,2256,Cafe
Customer_242,Yes,Yes,2.5,2899,1263,Delivery
Customer_243,No,No,3.8,4855,1352,Buffet
Customer_244,Yes,No,2.5,1992,985,Delivery
Customer_245,Yes,No,3,3692,1833,Cafe
Customer_246,Yes,No,4,3216,1239,Quick Bites
Customer_247,Yes,No,3.8,1923,591,Dining
Customer_248,Yes,No,1.9,2283,2970,Delivery
Customer_249,No,No,5,1098,284,Cafe
Customer_250,No,Yes,4,4219,1002,Dining
Customer_251,No,No,4.3,3260,1267,Buffet
Customer_252,No,Yes,4.4,1736,884,Dining
Customer_253,Yes,No,1.5,777,1107,Cafe
Customer_254,Yes,Yes,2.4,1054,862,Cafe
Customer_255,No,No,1.9,4650,2321,Delivery
Customer_256,No,No,3.4,744,2958,Dining
Customer_257,Yes,No,4.4,582,2525,Buffet
Customer_258,Yes,Yes,3.2,891,2479,Buffet
Customer_259,No,Yes,3.2,2840,1748,Delivery
Customer_260,Yes,Yes,1.8,4285,1772,Cafe
Customer_261,No,Yes,1.8,233,2991,Cafe
Customer_262,No,No,4.2,432,660,Cafe
Customer_263,No,No,3.2,2069,2328,Delivery
Customer_264,Yes,No,3.4,2647,1174,Cafe
Customer_265,Yes,No,1.1,2739,1720,Dining
Customer_266,Yes,No,4.4,3247,658,Dining
Customer_267,No,Yes,2.6,3375,971,Cafe
Customer_268,Yes,Yes,4.6,2423,2747,Quick Bites
Customer_269,Yes,Yes,1.8,1732,297,Buffet
Customer_270,Yes,Yes,3.5,2403,905,Quick Bites
Customer_271,Yes,No,1.6,3458,1727,Cafe
Customer_272,No,No,2.3,1235,1986,Delivery
Customer_273,No,No,3.3,3005,400,Cafe
Customer_274,No,Yes,3.3,1893,2697,Dining
Customer_275,No,Yes,2.9,626,2108,Quick Bites
Customer_276,Yes,No,1.6,1682,2738,Quick Bites
Customer_277,No,No,1.5,1092,2669,Buffet
Customer_278,Yes,Yes,2.8,3119,2080,Cafe
Customer_279,Yes,Yes,4.6,3455,490,Delivery
Customer_280,Yes,No,4.1,92,1413,Delivery
Customer_281,No,Yes,1.1,3039,1504,Quick Bites
Customer_282,Yes,No,2.7,824,1537,Quick Bites
Customer_283,Yes,No,2.2,2959,257,Quick Bites
Customer_284,Yes,No,3.1,466,2532,Buffet
Customer_285,No,No,3.1,2263,1727,Dining
Customer_286,No,No,1.1,3667,839,Dining
Customer_287,No,Yes,4.9,2705,1952,Delivery
Customer_288,Yes,Yes,4.3,3912,2314,Quick Bites
Customer_289,Yes,No,4.9,4243,295,Cafe
Customer_290,Yes,No,4.5,4616,216,Buffet
Customer_291,No,Yes,2.1,3498,1586,Delivery
Customer_292,No,No,3.4,1374,2720,Cafe
Customer_293,Yes,No,1.6,4770,1447,Cafe
Customer_294,Yes,No,3.9,3703,1487,Dining
Customer_295,No,Yes,1.8,2805,1113,Cafe
Customer_296,Yes,No,2.8,2421,2126,Dining
Customer_297,No,Yes,4.6,1199,360,Cafe
Customer_298,No,Yes,2.1,1901,578,Quick Bites
Customer_299,Yes,No,4.2,4481,2594,Buffet
Customer_300,Yes,No,4.3,3689,1719,Quick Bites
Customer_301,Yes,No,2.2,3455,293,Buffet
Customer_302,No,Yes,3.3,2201,1035,Delivery
Customer_303,No,Yes,1.3,1586,693,Cafe
Customer_304,Yes,No,1.7,2772,525,Buffet
Customer_305,Yes,Yes,4.7,1500,1690,Buffet
Customer_306,No,No,3.9,2146,1675,Cafe
Customer_307,Yes,No,3.7,4776,2047,Dining
Customer_308,No,No,1.8,3802,1826,Quick Bites
Customer_309,Yes,No,3,405,2781,Cafe
Customer_310,No,No,4.7,74,640,Cafe
Customer_311,No,No,1.5,2732,1491,Dining
Customer_312,Yes,No,2.1,769,2262,Dining
Customer_313,No,No,2.8,52,2508,Buffet
Customer_314,Yes,Yes,4.2,1637,1088,Buffet
Customer_315,No,Yes,2.8,3817,2430,Delivery
Customer_316,No,Yes,1.5,2437,512,Quick Bites
Customer_317,No,No,3.7,1943,1813,Quick Bites
Customer_318,Yes,No,2.6,1449,506,Cafe
Customer_319,No,Yes,1.1,909,412,Quick Bites
Customer_320,Yes,No,3.5,34,2088,Delivery
Customer_321,No,No,2,4210,1394,Delivery
Customer_322,No,No,1.9,2146,1636,Buffet
Customer_323,No,Yes,4.1,951,485,Buffet
Customer_324,No,Yes,1.8,2393,2007,Delivery
Customer_325,No,No,1.2,4228,800,Dining
Customer_326,Yes,Yes,1.3,2549,1502,Dining
Customer_327,No,No,1,1109,2718,Cafe
Customer_328,No,Yes,1.3,274,727,Cafe
Customer_329,Yes,No,4.7,1146,1885,Buffet
Customer_330,Yes,No,4.3,1095,1683,Quick Bites
Customer_331,Yes,Yes,1.7,4508,2737,Cafe
Customer_332,No,Yes,2,43,2467,Buffet
Customer_333,Yes,No,4.8,2529,2215,Delivery
Customer_334,Yes,Yes,3.5,4827,2007,Dining
Customer_335,No,Yes,1.8,58,719,Quick Bites
Customer_336,No,No,1,216,1446,Quick Bites
Customer_337,Yes,Yes,2.9,1752,1021,Delivery
Customer_338,No,Yes,4,4683,1321,Cafe
Customer_339,Yes,No,2.4,179,576,Delivery
Customer_340,No,No,1.6,1732,2010,Dining
Customer_341,Yes,No,3.1,3157,1071,Dining
Customer_342,Yes,Yes,2.9,4210,1624,Cafe
Customer_343,Yes,No,3.5,2325,2606,Dining
Customer_344,Yes,No,1.7,4707,2939,Buffet
Customer_345,Yes,Yes,2.4,264,1674,Buffet
Customer_346,No,No,2.2,3695,1825,Delivery
Customer_347,No,Yes,4,1021,1526,Quick Bites
Customer_348,Yes,Yes,4.7,2237,1733,Quick Bites
Customer_349,No,Yes,1.5,3892,2909,Cafe
Customer_350,Yes,Yes,4.6,20,2627,Delivery
Customer_351,Yes,No,3.4,1296,412,Cafe
Customer_352,Yes,No,4.4,29,420,Cafe
Customer_353,Yes,Yes,4.3,4268,2866,Cafe
Customer_354,Yes,Yes,4.7,3246,1247,Cafe
Customer_355,Yes,Yes,3.1,1010,1420,Delivery
Customer_356,No,No,3.1,1354,2577,Delivery
Customer_357,Yes,Yes,3.3,748,2272,Quick Bites
Customer_358,Yes,No,2.2,3604,2350,Delivery
Customer_359,Yes,No,4.4,3185,1033,Buffet
Customer_360,Yes,Yes,2.7,2593,2795,Cafe
Customer_361,Yes,Yes,3.6,4730,2344,Delivery
Customer_362,Yes,No,3,2295,1344,Buffet
Customer_363,No,No,3.4,4963,2471,Quick Bites
Customer_364,Yes,Yes,3.9,4047,1088,Buffet
Customer_365,Yes,No,3.3,2055,2778,Dining
Customer_366,No,No,3.6,973,1307,Buffet
Customer_367,No,Yes,2.9,4103,1147,Buffet
Customer_368,Yes,Yes,4.2,2154,1530,Cafe
Customer_369,Yes,Yes,3.7,3206,1780,Buffet
Customer_370,No,Yes,4.3,2999,2178,Delivery
Customer_371,Yes,Yes,3.8,3743,1197,Dining
Customer_372,No,Yes,3.1,4649,1495,Delivery
Customer_373,No,No,2.9,4566,681,Dining
Customer_374,No,Yes,1.7,2622,1678,Dining
Customer_375,Yes,Yes,1.3,1591,2290,Quick Bites
Customer_376,Yes,Yes,1.8,4869,2477,Buffet
Customer_377,No,Yes,3.8,2567,548,Cafe
Customer_378,Yes,No,3.6,1700,290,Delivery
Customer_379,No,No,4.2,486,2129,Dining
Customer_380,No,No,1.3,2449,2525,Delivery
Customer_381,Yes,Yes,3.3,2622,1502,Delivery
Customer_382,Yes,No,1.4,3020,2118,Dining
Customer_383,Yes,Yes,4.4,129,2237,Cafe
Customer_384,No,Yes,2.7,1457,500,Buffet
Customer_385,Yes,Yes,3.3,1121,1551,Cafe
Customer_386,No,Yes,4.2,4702,322,Delivery
Customer_387,No,No,2,387,2917,Delivery
Customer_388,Yes,No,4.7,3654,2674,Delivery
Customer_389,Yes,No,1.7,1547,2130,Quick Bites
Customer_390,No,No,3.3,359,2428,Delivery
Customer_391,Yes,No,2.4,1,1806,Cafe
Customer_392,No,No,4.7,262,2883,Dining
Customer_393,Yes,No,3.9,3766,1537,Dining
Customer_394,Yes,No,3.5,1413,2307,Quick Bites
Customer_395,Yes,No,5,2115,1941,Buffet
Customer_396,Yes,No,1.8,1309,578,Dining
Customer_397,No,No,4.5,4031,2914,Delivery
Customer_398,No,No,4,1445,2459,Buffet
Customer_399,Yes,Yes,1.3,2883,2640,Dining
Customer_400,No,No,4.1,2083,485,Delivery
Customer_401,No,Yes,2.9,1568,1157,Delivery
Customer_402,No,Yes,1.3,709,2753,Buffet
Customer_403,No,Yes,4,3980,2383,Cafe
Customer_404,Yes,Yes,3.9,3409,2355,Cafe
Customer_405,Yes,Yes,2.1,4795,238,Quick Bites
Customer_406,No,Yes,4.6,2002,1031,Buffet
Customer_407,No,Yes,1.6,4818,795,Quick Bites
Customer_408,Yes,Yes,1.9,182,2814,Delivery
Customer_409,No,No,4.3,3875,2496,Quick Bites
Customer_410,No,No,4.9,1834,2077,Cafe
Customer_411,No,No,2,2429,1869,Dining
Customer_412,No,Yes,4.8,4061,303,Cafe
Customer_413,No,No,4.7,2609,434,Quick Bites
Customer_414,Yes,No,3.1,1607,486,Delivery
Customer_415,Yes,No,2.2,4615,1634,Dining
Customer_416,No,No,3.5,1837,2325,Delivery
Customer_417,Yes,Yes,1.7,2928,2821,Quick Bites
Customer_418,Yes,Yes,2.6,1417,379,Quick Bites
Customer_419,No,No,2.9,1054,2424,Buffet
Customer_420,No,Yes,4.1,26,2877,Dining
Customer_421,Yes,No,4.6,1150,1632,Delivery
Customer_422,Yes,No,1.2,2506,362,Dining
Customer_423,No,Yes,3.9,136,1045,Buffet
Customer_424,No,No,1.2,2899,658,Quick Bites
Customer_425,No,Yes,4.8,277,241,Dining
Customer_426,No,No,3.8,558,2648,Dining
Customer_427,No,No,4,591,452,Buffet
Customer_428,Yes,No,2.2,1688,292,Delivery
Customer_429,Yes,Yes,4.6,1240,2835,Quick Bites
Customer_430,No,No,3.2,2065,2091,Quick Bites
Customer_431,No,Yes,4.6,2166,1618,Delivery
Customer_432,No,No,2.5,1432,506,Delivery
Customer_433,Yes,No,3.7,2697,2333,Delivery
Customer_434,Yes,No,1.2,4989,2529,Quick Bites
Customer_435,No,Yes,3.4,163,253,Dining
Customer_436,No,No,2.4,4204,1692,Quick Bites
Customer_437,Yes,Yes,3,4010,1857,Cafe
Customer_438,No,No,5,3150,2079,Quick Bites
Customer_439,Yes,No,1.2,4707,1411,Dining
Customer_440,No,Yes,1.4,3594,1799,Delivery
Customer_441,No,Yes,1,2811,648,Buffet
Customer_442,No,No,4.3,1019,2381,Buffet
Customer_443,No,No,4.9,4322,2540,Delivery
Customer_444,No,Yes,4.3,339,1455,Quick Bites
Customer_445,Yes,No,3.4,2715,2147,Delivery
Customer_446,No,Yes,1.9,44,1792,Buffet
Customer_447,No,No,3.7,1350,513,Dining
Customer_448,Yes,Yes,2.9,404,981,Dining
Customer_449,No,Yes,2.1,3301,1074,Delivery
Customer_450,Yes,No,1.9,1521,2110,Dining
Customer_451,Yes,Yes,3.3,3139,2768,Quick Bites
Customer_452,No,Yes,2.1,95,1401,Delivery
Customer_453,Yes,No,4.5,1851,842,Quick Bites
Customer_454,Yes,No,2,4729,1290,Delivery
Customer_455,Yes,No,4.1,933,648,Delivery
Customer_456,Yes,No,4.5,4246,2835,Quick Bites
Customer_457,No,No,2.8,3115,1217,Cafe
Customer_458,No,Yes,4.2,3780,2715,Cafe
Customer_459,Yes,Yes,4.2,3334,2588,Quick Bites
Customer_460,Yes,No,1.5,694,2808,Cafe
Customer_461,No,No,3.1,1547,2159,Cafe
Customer_462,No,No,3.8,3515,203,Buffet
Customer_463,No,No,4.8,2209,479,Cafe
Customer_464,Yes,No,3.5,596,2635,Quick Bites
Customer_465,No,Yes,1.3,2610,1992,Dining
Customer_466,Yes,No,2.3,3227,2600,Dining
Customer_467,No,No,3.6,4687,1490,Quick Bites
Customer_468,Yes,Yes,4.8,4746,1061,Quick Bites
Customer_469,No,Yes,4.8,2978,2905,Buffet
Customer_470,Yes,No,1.7,4117,1046,Quick Bites
Customer_471,No,No,4.6,637,492,Delivery
Customer_472,No,Yes,1.2,4574,2027,Dining
Customer_473,Yes,No,4.4,4897,676,Delivery
Customer_474,No,Yes,2.2,2057,673,Buffet
Customer_475,Yes,Yes,3.5,4375,1254,Buffet
Customer_476,Yes,No,3.3,283,794,Dining
Customer_477,No,No,1.1,1007,2837,Dining
Customer_478,Yes,Yes,2.5,1628,1161,Buffet
Customer_479,No,Yes,4,3399,1427,Dining
Customer_480,No,No,4.6,4607,1940,Buffet
Customer_481,No,No,1.5,1147,1777,Delivery
Customer_482,Yes,Yes,2.7,330,392,Quick Bites
Customer_483,No,Yes,4.6,1920,1510,Quick Bites
Customer_484,No,Yes,3,179,359,Buffet
Customer_485,Yes,Yes,1.8,140,2771,Quick Bites
Customer_486,Yes,No,4.2,4517,2508,Buffet
Customer_487,No,No,4.9,1075,1909,Dining
Customer_488,Yes,Yes,3.7,3249,2970,Buffet
Customer_489,Yes,No,2.8,1322,1721,Buffet
Customer_490,No,Yes,4.6,2879,433,Quick Bites
Customer_491,Yes,Yes,4.3,3345,350,Dining
Customer_492,Yes,No,1.4,2171,2867,Buffet
Customer_493,No,Yes,2.3,3024,1145,Dining
Customer_494,Yes,Yes,4.4,2104,2978,Quick Bites
Customer_495,No,Yes,2.6,1394,2562,Quick Bites
Customer_496,Yes,No,4.8,2656,1481,Buffet
Customer_497,Yes,Yes,2.7,2294,1581,Quick Bites
Customer_498,No,No,4.5,3880,376,Buffet
Customer_499,Yes,No,1.4,863,579,Quick Bites
Customer_500,No,Yes,2.5,97,1679,Dining
Customer_501,Yes,No,4.5,2397,1633,Cafe
Customer_502,Yes,No,4.9,2808,936,Delivery
Customer_503,No,Yes,2.9,2526,1703,Dining
Customer_504,Yes,Yes,3.2,1400,434,Delivery
Customer_505,No,No,1,1699,2031,Quick Bites
Customer_506,No,Yes,4.9,720,2190,Quick Bites
Customer_507,Yes,No,2.5,372,2120,Quick Bites
Customer_508,Yes,Yes,2.9,1116,1408,Dining
Customer_509,Yes,Yes,1.2,1494,1070,Quick Bites
Customer_510,No,Yes,2.4,3031,2942,Delivery
Customer_511,Yes,Yes,1.2,4885,2064,Quick Bites
Customer_512,No,Yes,2.9,663,1777,Cafe
Customer_513,No,Yes,3.3,269,2413,Quick Bites
Customer_514,Yes,No,1.9,1214,2050,Dining
Customer_515,No,Yes,3.9,485,921,Dining
Customer_516,Yes,Yes,3.4,1324,2927,Quick Bites
Customer_517,No,No,3.4,55,961,Buffet
Customer_518,No,No,3.6,1710,865,Quick Bites
Customer_519,No,No,4.4,2411,2620,Cafe
Customer_520,No,No,1.5,1043,1300,Buffet
Customer_521,No,Yes,3.8,3307,2042,Cafe
Customer_522,No,No,4.8,69,1009,Quick Bites
Customer_523,Yes,Yes,4.7,32,2822,Buffet
Customer_524,Yes,Yes,4.8,1870,2409,Quick Bites
Customer_525,No,Yes,3.6,2924,236,Quick Bites
Customer_526,No,No,2.9,4048,2189,Quick Bites
